,currency,event,impact,previous_value,forecast_value,actual_value
0,AUD,Bank Holiday,Non-Economic,,,
1,JPY,Bank Holiday,Non-Economic,,,
2,CNY,Bank Holiday,Non-Economic,,,
3,CHF,Bank Holiday,Non-Economic,,,
4,EUR,French Bank Holiday,Non-Economic,,,
5,EUR,German Bank Holiday,Non-Economic,,,
6,EUR,Italian Bank Holiday,Non-Economic,,,
7,GBP,Bank Holiday,Non-Economic,,,
8,CAD,Bank Holiday,Non-Economic,,,
9,USD,Bank Holiday,Non-Economic,,,
10,NZD,Bank Holiday,Non-Economic,,,
11,NZD,Bank Holiday,Non-Economic,,,
12,JPY,Final Manufacturing PMI,Low Impact Expected,49.7,49.7,50.0
13,CNY,Caixin Manufacturing PMI,Low Impact Expected,54.9,54.7,53.0
14,AUD,Commodity Prices y/y,Low Impact Expected,2.5%,,11.7%
15,EUR,Spanish Manufacturing PMI,Low Impact Expected,49.8,52.6,51.0
16,CHF,Manufacturing PMI,Low Impact Expected,55.2,54.4,58.0
17,EUR,Italian Manufacturing PMI,Low Impact Expected,51.5,53.5,52.8
18,EUR,French Final Manufacturing PMI,Low Impact Expected,51.1,51.1,51.1
19,EUR,German Final Manufacturing PMI,Low Impact Expected,58.6,58.6,58.3
20,EUR,Final Manufacturing PMI,Low Impact Expected,55.5,55.5,55.2
21,GBP,Final Manufacturing PMI,Medium Impact Expected,57.3,57.3,57.5
22,GBP,M4 Money Supply m/m,Low Impact Expected,0.7%,0.4%,0.8%
23,GBP,Mortgage Approvals,Low Impact Expected,98K,82K,105K
24,GBP,Net Lending to Individuals m/m,Low Impact Expected,3.8B,3.0B,4.1B
25,All,OPEC-JMMC Meetings,High Impact Expected,,,
26,CAD,Manufacturing PMI,Medium Impact Expected,55.8,,57.9
27,USD,Final Manufacturing PMI,Low Impact Expected,56.5,56.3,57.1
28,USD,Construction Spending m/m,Low Impact Expected,1.6%,1.1%,0.9%
29,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
30,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
31,JPY,Final Manufacturing PMI,Low Impact Expected,49.7,49.7,50.0
32,CNY,Caixin Manufacturing PMI,Low Impact Expected,54.9,54.7,53.0
33,AUD,Commodity Prices y/y,Low Impact Expected,2.5%,,11.7%
34,EUR,Spanish Manufacturing PMI,Low Impact Expected,49.8,52.6,51.0
35,CHF,Manufacturing PMI,Low Impact Expected,55.2,54.4,58.0
36,EUR,Italian Manufacturing PMI,Low Impact Expected,51.5,53.5,52.8
37,EUR,French Final Manufacturing PMI,Low Impact Expected,51.1,51.1,51.1
38,EUR,German Final Manufacturing PMI,Low Impact Expected,58.6,58.6,58.3
39,EUR,Final Manufacturing PMI,Low Impact Expected,55.5,55.5,55.2
40,GBP,Final Manufacturing PMI,Medium Impact Expected,57.3,57.3,57.5
41,GBP,M4 Money Supply m/m,Low Impact Expected,0.7%,0.4%,0.8%
42,GBP,Mortgage Approvals,Low Impact Expected,98K,82K,105K
43,GBP,Net Lending to Individuals m/m,Low Impact Expected,3.8B,3.0B,4.1B
44,All,OPEC-JMMC Meetings,High Impact Expected,,,
45,CAD,Manufacturing PMI,Medium Impact Expected,55.8,,57.9
46,USD,Final Manufacturing PMI,Low Impact Expected,56.5,56.3,57.1
47,USD,Construction Spending m/m,Low Impact Expected,1.6%,1.1%,0.9%
48,USD,FOMC Member Bostic Speaks,Low Impact Expected,,,
49,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
50,JPY,Monetary Base y/y,Low Impact Expected,16.5%,18.0%,18.3%
51,AUD,ANZ Job Advertisements m/m,Low Impact Expected,13.5%,,9.2%
52,EUR,German Retail Sales m/m,Low Impact Expected,2.6%,-2.0%,1.9%
53,CHF,CPI m/m,Low Impact Expected,-0.2%,0.0%,-0.1%
54,EUR,Spanish Unemployment Change,Low Impact Expected,25.3K,30.5K,36.8K
55,EUR,German Unemployment Change,Low Impact Expected,-40K,10K,-37K
56,EUR,M3 Money Supply y/y,Low Impact Expected,10.5%,10.6%,11.0%
57,EUR,Private Loans y/y,Low Impact Expected,3.2%,3.3%,3.1%
58,All,OPEC-JMMC Meetings,High Impact Expected,,,
59,CAD,IPPI m/m,Low Impact Expected,-0.4%,-0.2%,-0.6%
60,CAD,RMPI m/m,Low Impact Expected,0.5%,0.9%,0.6%
61,NZD,GDT Price Index,Low Impact Expected,1.3%,,3.9%
62,USD,ISM Manufacturing PMI,Medium Impact Expected,57.5,56.6,60.7
63,USD,ISM Manufacturing Prices,Low Impact Expected,65.4,66.0,77.6
64,USD,Wards Total Vehicle Sales,Low Impact Expected,15.6M,15.8M,16.3M
65,USD,FOMC Member Evans Speaks,Low Impact Expected,,,
66,JPY,Monetary Base y/y,Low Impact Expected,16.5%,18.0%,18.3%
67,AUD,ANZ Job Advertisements m/m,Low Impact Expected,13.5%,,9.2%
68,EUR,German Retail Sales m/m,Low Impact Expected,2.6%,-2.0%,1.9%
69,CHF,CPI m/m,Low Impact Expected,-0.2%,0.0%,-0.1%
70,EUR,Spanish Unemployment Change,Low Impact Expected,25.3K,30.5K,36.8K
71,EUR,German Unemployment Change,Low Impact Expected,-40K,10K,-37K
72,EUR,M3 Money Supply y/y,Low Impact Expected,10.5%,10.6%,11.0%
73,EUR,Private Loans y/y,Low Impact Expected,3.2%,3.3%,3.1%
74,All,OPEC-JMMC Meetings,High Impact Expected,,,
75,CAD,IPPI m/m,Low Impact Expected,-0.4%,-0.2%,-0.6%
76,CAD,RMPI m/m,Low Impact Expected,0.5%,0.9%,0.6%
77,NZD,GDT Price Index,Low Impact Expected,1.3%,,3.9%
78,USD,ISM Manufacturing PMI,Medium Impact Expected,57.5,56.6,60.7
